time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	993922	5.945265681182581	129050	2995098	19.259837736548402	172737	3989020	13.217998124505032	301787
1	1294835	8.650162162162163	128707	2807078	16.823842447942912	175426	4101913	13.48723420345704	304133
2	1653926	12.325005539552404	126989	2793016	16.094778028592927	175715	4446942	14.690727575453248	302704
3	2025087	15.932153149444217	127184	2734255	15.623985591255382	171856	4759342	15.915402621722846	299040
4	2290563	18.75601796323673	126504	2678336	14.84079812983574	171878	4968899	16.652810826390333	298382
5	2488481	20.907635502691733	126097	2625519	14.197008334369947	172110	5114000	17.149161488496247	298207
6	2593796	22.42247267759563	125196	2513941	13.549577264578271	169228	5107737	17.348235877509985	294424
7	2613922	23.279939854944278	122758	2409734	12.866714183891661	168338	5023656	17.25772940885481	291096
8	2583235	23.684403274450666	119856	2311032	12.168165770006725	168795	4894267	16.95565579194252	288651
9	2502108	23.744332654100866	117359	2162353	11.627811439782347	164564	4664461	16.545159493904364	281923
10	2341126	23.20898211735908	113091	2047857	10.982152762961382	164861	4388983	15.79043503914345	277952
