time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	1579592	10.383058792460304	116349	4795291	25.714024774469376	199528	6374883	20.18153585097997	315877
1	2262279	15.41770622526958	123719	5090629	27.14833358367129	196507	7352908	22.961620855270965	320226
2	3117031	22.35033228596057	128761	5420083	28.77902039879602	190617	8537114	26.730438539911955	319378
3	3734016	27.862209364620163	129896	5502175	29.15435626037587	185691	9236191	29.266703001074188	315587
4	4264203	32.16116981807947	132696	5375286	28.222334541293154	182089	9639489	30.622453420588656	314785
5	4561862	35.03489453704402	133341	5192968	26.95173288905248	180248	9754830	31.1070541377408	313589
6	4701677	36.890141128525066	132771	5006425	25.690431464917317	179382	9708102	31.100460351173943	312153
7	4734081	37.75821387796524	131691	4736933	24.33599547039366	176713	9471014	30.709763816292913	308404
8	4657409	38.42005688786827	129329	4561438	23.211360751963195	176377	9218847	30.15592431944417	305706
9	4587406	38.39280533797505	128528	4280005	21.97349882589735	173456	8867411	29.363843779802902	301984
10	4420130	38.02339978727466	125961	4092261	20.68600321443902	174719	8512391	28.31046627644007	300680
