time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	988058	4.76548651444029	180360	2282892	12.291935032203865	207266	3270950	8.438417443618333	387626
1	1432680	7.357240005060729	181578	2392570	12.120821806776734	207350	3825250	9.835367985848281	388928
2	2048427	11.23085761705659	180653	2567880	12.402920612443578	206558	4616307	11.921941783678665	387211
3	2574882	14.54264488325722	180643	2679529	12.428016149882241	206949	5254411	13.556551734813928	387592
4	2934086	16.984799571727528	179565	2690634	11.993747681873575	207212	5624720	14.542540016598712	386777
5	3181462	18.633720644389452	178957	2680099	11.584637444031	207741	5861561	15.157981163595364	386698
6	3329942	19.872395746524884	177103	2638415	11.164391597860064	207862	5968357	15.503635395425558	384965
7	3377738	20.488597085733648	175074	2575236	10.740126835201112	208147	5952974	15.534049543213968	383221
8	3300538	20.652639551883883	170637	2479952	10.23088584177665	208358	5780490	15.252153722344621	378995
9	3204901	20.35180709854278	168800	2391651	9.675339118712612	210276	5596552	14.763667443995399	379076
10	3056298	19.88752922543178	164868	2318064	9.206172527194536	213486	5374362	14.204586181195388	378354
