time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	667103	4.883013316816352	116764	1608975	10.931318448085577	157556	2276078	8.297163896179644	274320
1	1018538	8.258787096774194	117545	1692187	10.85654471244608	158772	2710725	9.810199879124339	276317
2	1405658	12.29162512462612	116678	1755263	10.784698355628404	158409	3160921	11.4906229665524	275087
3	1693121	15.196112981274984	117042	1781065	10.593836851596478	158159	3474186	12.624176510986516	275201
4	1825644	16.774542075922486	116371	1727605	10.06300001065269	157796	3553249	12.960162966367214	274167
5	1892807	17.869392253312906	115072	1648960	9.562381350140482	155582	3541767	13.08595845618391	270654
6	1851265	17.961128491929454	112544	1563375	8.989303595812471	154913	3414640	12.767061621120405	267457
7	1823453	17.964652159206224	111943	1497186	8.491974773269945	155840	3320639	12.400484720837394	267783
8	1718962	17.29122899159664	109297	1408113	8.083929109780783	154390	3127075	11.859041211739676	263687
9	1602566	16.450306156305615	107658	1318032	7.49888219388081	155117	2920598	11.114443915897631	262775
10	1488941	15.58484468151867	105763	1267602	7.016842319637493	159558	2756543	10.389464083129493	265321
11	1333618	14.565984283835284	101125	1196807	6.671759920853028	159761	2530425	9.699351440859227	260886
12	1215180	13.489599775509488	99213	1141134	6.33579710995092	161567	2356314	9.03563923613774	260780
13	1115855	12.471503158202198	97855	1095687	6.013912495464354	164041	2211542	8.444351956501817	261896
14	1028013	11.509659546548079	97993	1025577	5.78991366314924	161247	2053590	7.92157846011418	259240
15	950506	10.575945193434935	98396	989923	5.610136547439979	162112	1940429	7.448634974741658	260508
16	866582	9.757625907398353	96323	927838	5.4923735970776475	156737	1794420	7.0908875365525965	253060
17	764254	8.892756275110386	92969	865849	5.27841286997007	153186	1630103	6.622262395645021	246155
18	650881	8.015844847255673	87903	772401	4.929667161513802	147186	1423282	6.0542262717524	235089
19	574043	7.258742493818438	84902	722602	4.766956769554542	143883	1296645	5.667526280132002	228785
20	506193	6.633139104698484	81593	670919	4.539013333036301	140723	1177112	5.294769607225751	222316
21	447929	6.094265060240964	78282	614260	4.324643950026459	135809	1062189	4.961390249940446	214091
22	387295	5.653709119914916	72460	558761	4.186425657958629	128177	946056	4.715261890877555	200637
23	341434	5.176835344923043	68879	513125	3.9682680027507615	124998	854559	4.407737895676124	193877
24	318002	4.869916039690328	67703	485681	3.8840294592413236	121236	803683	4.253663880935116	188939
25	327272	4.578196564885496	73972	485160	3.7849882527513294	125057	812432	4.081978003205563	199029
26	321597	4.280328162826145	76546	486292	3.8238617398721737	125623	807889	3.99610721722915	202169
27	326975	4.078394908670138	81436	501532	3.6901915796719056	134059	828507	3.844669249866586	215495
28	338716	3.9203623103164333	86951	534538	3.613265879707701	146183	873254	3.7457170554273507	233134
29	319241	3.7966628022524014	84809	535375	3.6076935578896046	147829	854616	3.6735872901245714	232638
30	294819	3.5648981525343437	84119	505354	3.5002979799017693	144961	800173	3.4929849834119087	229080
31	273071	3.457545238680095	79660	471204	3.4500551433190925	137366	744275	3.429427810492752	217026
32	250062	3.3727521679598356	75512	467659	3.376985844099648	139801	717721	3.333384421748803	215313
33	242061	3.2421941729144916	74578	467692	3.2867417478827297	142815	709753	3.264838334260993	217393
34	221689	3.106845238095238	71123	454742	3.2088033337602333	142674	676431	3.163893787097106	213797
35	234712	2.9871823600591583	77795	499875	3.1511671571666855	159208	734587	3.099483972776716	237003
36	233041	2.8546606881089938	78848	489013	3.0915882944753075	158811	722054	3.0381933779070014	237659
37	219501	2.8985195154777927	75054	454588	3.0329536617721056	151282	674089	2.9782668245440407	226336
38	211017	2.808082724599184	74300	454777	2.9852627235706723	153577	665794	2.921725316727884	227877
39	204453	2.8069311709624483	71769	452322	3.0060702789459053	152586	656775	2.9273918566557464	224355
