time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	520099	3.320782802854516	131162	1470775	8.80426710413745	181374	1990874	6.370062968746001	312536
1	859076	5.998873251413751	133110	1563182	9.10128593735648	177008	2422258	7.810762354974558	310118
2	1267013	9.403627832935362	134151	1639472	9.260101680767917	173661	2906485	9.442403155172638	307812
3	1587476	12.247615453954678	133328	1678076	9.205301699730308	171898	3265552	10.698800233269774	305226
4	1787560	14.181738554551476	132239	1674759	8.921476336710386	172184	3462319	11.373381774701649	304423
5	1873357	15.321957751954727	130278	1605222	8.494690479647645	169889	3478579	11.588812227859824	300167
6	1873073	15.819043160335296	127521	1540708	8.064570476841467	169705	3413781	11.485472334183417	297226
7	1865504	16.19046319046319	125643	1470308	7.6725428850941	168316	3335812	11.347881847468525	293959
8	1750387	15.713541914316961	121967	1370584	7.155842271720522	167159	3120971	10.794501359268969	289126
9	1667329	15.351408415718614	119061	1310217	6.809779282380843	167749	2977546	10.38159757330637	286810
10	1547693	14.671835434776934	115580	1260304	6.453736472992429	170136	2807997	9.827930532416806	285716
11	1420808	13.998176392572944	111316	1170113	6.132874266768681	166590	2590921	9.32301209761574	277906
12	1296279	12.975890712280398	109273	1107168	5.732758620689655	168710	2403447	8.64602151930154	277983
13	1204702	12.132934239817098	107944	1074942	5.52563339644757	171793	2279644	8.14924017916829	279737
14	1143548	11.587531080209963	107282	1043950	5.467394590039297	169883	2187498	7.892403441993037	277165
15	1041389	10.475678084808353	107437	1005342	5.230988816419448	172559	2046731	7.3098579979714	279996
16	945645	9.86583489430024	104619	946235	5.11448004892785	168566	1891880	6.925270421143181	273185
17	842861	9.020950470937937	101269	901875	4.903495517276116	168928	1744736	6.457273766918211	270197
18	752287	8.406659241906372	96661	872430	4.8170610495600235	167472	1624717	6.151132194765516	264133
19	616128	7.548801009676062	89001	793653	4.723213518545038	158456	1409781	5.697074643271356	247457
20	549618	6.871951476348932	86918	746195	4.5673127139789935	155821	1295813	5.338297512966602	242739
21	504379	6.379936279030771	85375	679392	4.392987305487305	148287	1183771	5.066168225898948	233662
22	460864	5.841449987295672	84136	646397	4.173845952133615	149079	1107261	4.7478121047102455	233215
23	437161	5.398620066532507	85254	623980	4.00370207316097	150074	1061141	4.50919992521077	235328
24	397155	5.14475090870216	80471	579015	4.014146734748723	139856	976170	4.430550953809565	220327
25	319770	4.567063046892528	73141	501020	4.074622032927346	122056	820790	4.2049314282494095	195197
26	265403	4.115904160915007	65053	427356	4.046975695748923	105755	692759	4.055776076062011	170808
27	244891	3.937012829823287	61884	371510	3.9657354326025542	93469	616401	3.9677444272077143	155353
28	222099	3.8935159726041095	57465	321780	3.851884133224538	83269	543879	3.8645885145025365	140734
29	207574	3.7944682880305196	54415	314581	3.828959475873238	81843	522155	3.8321052708831775	136258
30	202904	3.7377748959853028	53994	320035	3.7936217073385605	84147	522939	3.785545203813495	138141
31	280771	3.845214241676942	72896	447889	3.874967195291118	115753	728660	3.8625171615009886	188649
32	309504	3.7596254961158793	82945	490981	3.581177777079339	136213	800485	3.652547477162595	219158
33	304758	3.5416810792113456	84880	535055	3.6065544208648115	148359	839813	3.6006542645097945	233239
34	292258	3.4586055146806025	84713	533666	3.4945975124062163	153463	825924	3.4677045546150747	238176
35	278336	3.3288882172943977	83520	540364	3.3469873104727235	161420	818700	3.342451212541847	244940
36	266590	3.2715594238151344	80970	518296	3.2957457849233505	156718	784886	3.302169230251422	237688
