time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	594029	4.729599416195366	121510	730638	4.892993140893966	148786	1324667	4.900801343712079	270296
1	805040	4.626120454758997	156923	921957	5.780993193849256	155100	1726997	5.534838777910602	312023
2	935943	6.264258737370833	147307	847197	5.651890268868568	140399	1783140	6.197785239098246	287706
3	942710	7.452506596306069	131226	908804	5.777864409763704	146746	1851514	6.66079317341315	277972
4	947964	8.318683859036268	122681	909077	5.610203812650523	150222	1857041	6.804765795905505	272903
15	328491	3.5892272983643543	82338	758903	4.650905047144686	164868	1087394	4.39873627662759	247206
16	393719	4.306613589070841	91216	684902	4.1286331866171295	162705	1078621	4.247860555054525	253921
17	415154	4.99516932025435	86981	657110	3.8940645912132674	162214	1072264	4.302911374626297	249195
18	424984	5.498968308555103	84550	648696	3.7888545423321314	163352	1073680	4.331066308460602	247902
19	421925	5.608222422738552	82239	632144	3.586522071627984	166568	1054069	4.236492542412392	248807
30	122974	3.1354284788595495	39620	373046	3.2651110486364914	115247	496020	3.202877307625253	154867
31	192913	3.0533368832090875	62970	446477	2.9727480171694527	148267	639390	3.0268844946671276	211237
32	174602	3.161152157618589	56861	395515	2.802282974836591	139359	570117	2.9054989297727043	196220
33	159280	3.2408299370137086	51419	390190	2.6772675988233874	142026	549470	2.8404456046938407	193445
34	136743	3.210173663339259	45421	336742	2.6789171186381875	123694	473485	2.799781213966827	169115
