time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	1297249	9.56544966368644	126306	2356730	12.63175254585075	193524	3653979	11.424753775443204	319830
1	1120187	8.63326857248589	114374	2591224	14.469372201581404	185920	3711411	12.359257927231313	300294
2	1600677	13.501819394748013	115946	2813654	14.944759726572167	188754	4414331	14.487466360354446	304700
3	2060299	17.581316274781006	120887	2968678	15.074268847119495	191544	5028977	16.096280458725285	312431
4	2352715	20.025132348843687	124804	3056488	15.121676553204852	193543	5409203	16.991531253632044	318347
15	1283713	10.220229077025635	124845	2023675	10.356434971490632	196103	3307388	10.305058763413388	320948
16	1368542	10.199793207667224	133056	2026931	10.786933122715501	188549	3395473	10.557898664510812	321605
17	1582956	12.369920263953809	131128	2082710	10.42457816540299	193753	3665666	11.283103659493785	324881
18	1687229	13.874571428571429	127753	2076409	10.252776072274361	192433	3763638	11.754536425702561	320186
19	1662640	14.552612655800575	124946	2146406	10.587344515160305	195206	3809046	11.897617381743672	320152
30	772001	6.770418150893746	112949	1311427	7.448789438990932	180562	2083428	7.098296145629976	293511
31	790912	6.765167688175746	113444	1358375	7.847685207213209	177131	2149287	7.396668674180504	290575
32	868711	7.749720063791524	113192	1353012	7.617817351172439	178741	2221723	7.610386629808895	291933
33	894464	8.33183978275628	111255	1316733	7.39541983316167	177250	2211197	7.664328174555034	288505
34	885584	8.444949801226333	110349	1279418	7.142212542273195	176782	2165002	7.5401193183599124	287131
