time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	1094598	6.280837476427225	147543	1960005	11.18085210866448	183966	3054603	9.214238527460793	331509
1	1306176	8.566359010507302	143810	2166897	11.532818016475874	192910	3473073	10.314424447612259	336720
2	1802539	12.414370099881861	146172	2327285	11.917349258965016	191255	4129824	12.239162841147863	337427
3	2161388	15.348331450421483	145957	2377261	11.881694666555225	189406	4538649	13.533541267223875	335363
4	2442642	17.442247463147783	149811	2382530	11.89417473854822	186484	4825172	14.348033720394296	336295
15	1055107	7.824366227831574	133237	1490247	7.990177078583371	185456	2545354	7.986852550887531	318693
16	1088669	8.54286827747467	129198	1551965	7.993733971393068	191713	2640634	8.228555580830822	320911
17	1265944	10.472274613353452	126485	1597995	7.865314982850692	192785	2863939	8.970272809847465	319270
18	1377509	11.547194738850886	126829	1645215	7.929013562867578	195042	3022724	9.391103889446393	321871
19	1471709	12.34892854093742	129638	1638186	8.036798519795934	190858	3109895	9.703381633468124	320496
30	550588	5.3041889448782555	100416	903278	5.84401390429071	156939	1453866	5.649262691612753	257355
31	653744	5.53136618670993	114984	978657	5.983147767808886	164589	1632401	5.838907905985199	279573
32	673458	6.331831940040358	108768	936346	5.81585900173936	159725	1609804	5.995701936363331	268493
33	678412	6.717959019686621	106201	922664	5.698807694804493	159505	1601076	6.025742738214418	265706
34	671598	6.863062928162318	103385	903990	5.4911709349292614	160139	1575588	5.978916531321626	263524
